Songs,Mood,Energy,Beats
"In the End",Sad,High,Fast
"Numb",Sad,High,Mid-tempo
"Crawling",Sad,High,Slow
"One Step Closer",Happy,High,Fast
"Breaking the Habit",Sad,Medium,Mid-tempo
"Somewhere I Belong",Happy,High,Mid-tempo
"What I've Done",Sad,High,Mid-tempo
"Faint",Happy,High,Fast
"Shadow of the Day",Sad,Medium,Slow
"New Divide",Happy,High,Fast
"In the End",Sad,High,Fast
"Numb",Sad,High,Mid-tempo
"Crawling",Sad,High,Slow
"One Step Closer",Happy,High,Fast
"Breaking the Habit",Sad,Medium,Mid-tempo
"Somewhere I Belong",Happy,High,Mid-tempo
"What I've Done",Sad,High,Mid-tempo
"Faint",Happy,High,Fast
"Shadow of the Day",Sad,Medium,Slow
"New Divide",Happy,High,Fast
"In the End",Sad,High,Fast
"Numb",Sad,High,Mid-tempo
"Crawling",Sad,High,Slow
"One Step Closer",Happy,High,Fast
"Breaking the Habit",Sad,Medium,Mid-tempo
"Somewhere I Belong",Happy,High,Mid-tempo
"What I've Done",Sad,High,Mid-tempo
"Faint",Happy,High,Fast
"She Looks So Perfect",Happy,High,Fast
"Youngblood",Happy,High,Fast
"Amnesia",Sad,Medium,Slow
"Good Girls",Happy,High,Fast
"Want You Back",Happy,High,Fast
"Easier",Happy,High,Fast
"Don't Stop",Happy,High,Fast
"Jet Black Heart",Sad,High,Slow
"She's Kinda Hot",Happy,High,Fast
"Heartbreak Girl",Sad,Medium,Slow
"She Looks So Perfect",Happy,High,Fast
"Youngblood",Happy,High,Fast
"Amnesia",Sad,Medium,Slow
"Good Girls",Happy,High,Fast
"Want You Back",Happy,High,Fast
"Easier",Happy,High,Fast
"Don't Stop",Happy,High,Fast
"Jet Black Heart",Sad,High,Slow
"She's Kinda Hot",Happy,High,Fast
"Heartbreak Girl",Sad,Medium,Slow
"She Looks So Perfect",Happy,High,Fast
"Youngblood",Happy,High,Fast
"Amnesia",Sad,Medium,Slow
"Good Girls",Happy,High,Fast
"Want You Back",Happy,High,Fast
"Easier",Happy,High,Fast
"Don't Stop",Happy,High,Fast
"Jet Black Heart",Sad,High,Slow
"She's Kinda Hot",Happy,High,Fast
"Heartbreak Girl",Sad,Medium,Slow
"She Looks So Perfect",Happy,High,Fast
"Youngblood",Happy,High,Fast
"Amnesia",Sad,Medium,Slow
"Good Girls",Happy,High,Fast
"Want You Back",Happy,High,Fast
"Easier",Happy,High,Fast
"Don't Stop",Happy,High,Fast
"Jet Black Heart",Sad,High,Slow
"She's Kinda Hot",Happy,High,Fast
"Heartbreak Girl",Sad,Medium,Slow
"She Looks So Perfect",Happy,High,Fast
"Youngblood",Happy,High,Fast
"Amnesia",Sad,Medium,Slow
"Good Girls",Happy,High,Fast
"Want You Back",Happy,High,Fast
"Easier",Happy,High,Fast
"Don't Stop",Happy,High,Fast
"Jet Black Heart",Sad,High,Slow
"She's Kinda Hot",Happy,High,Fast
"Heartbreak Girl",Sad,Medium,Slow
"She Looks So Perfect",Happy,High,Fast
"Youngblood",Happy,High,Fast
"Amnesia",Sad,Medium,Slow
"Good Girls",Happy,High,Fast
"Want You Back",Happy,High,Fast
"Easier",Happy,High,Fast
"Don't Stop",Happy,High,Fast
"Jet Black Heart",Sad,High,Slow
"She's Kinda Hot",Happy,High,Fast
"Heartbreak Girl",Sad,Medium,Slow
"She Looks So Perfect",Happy,High,Fast
"Youngblood",Happy,High,Fast
"Amnesia",Sad,Medium,Slow
"Good Girls",Happy,High,Fast
"Want You Back",Happy,High,Fast
"Easier",Happy,High,Fast
"Don't Stop",Happy,High,Fast
"Jet Black Heart",Sad,High,Slow
"She's Kinda Hot",Happy,High,Fast
"Heartbreak Girl",Sad,Medium,Slow
"She Looks So Perfect",Happy,High,Fast
"Youngblood",Happy,High,Fast
"Amnesia",Sad,Medium,Slow
"Good Girls",Happy,High,Fast
"Want You Back",Happy,High,Fast
"Easier",Happy,High,Fast
"Don't Stop",Happy,High,Fast
"Jet Black Heart",Sad,High,Slow
"She's Kinda Hot",Happy,High,Fast
"Heartbreak Girl",Sad,Medium,Slow
"Shape of You",Happy,High,Fast
"Thinking Out Loud",Happy,Medium,Slow
"Castle on the Hill",Happy,High,Fast
"Perfect",Happy,Medium,Slow
"Photograph",Happy,Medium,Mid-tempo
"Galway Girl",Happy,High,Fast
"I Don't Care"" (with Justin Bieber)",Happy,High,Fast
"The A Team",Sad,Low,Slow
"Happier",Sad,Medium,Slow
"Sing",Happy,High,Fast
"Shape of You",Happy,High,Fast
"Thinking Out Loud",Happy,Medium,Slow
"Castle on the Hill",Happy,High,Fast
"Perfect",Happy,Medium,Slow
"Photograph",Happy,Medium,Mid-tempo
"Galway Girl",Happy,High,Fast
"I Don't Care"" (with Justin Bieber)",Happy,High,Fast
"The A Team",Sad,Low,Slow
"Happier",Sad,Medium,Slow
"Sing",Happy,High,Fast
"Shape of You",Happy,High,Fast
"Thinking Out Loud",Happy,Medium,Slow
"Castle on the Hill",Happy,High,Fast
"Perfect",Happy,Medium,Slow
"Photograph",Happy,Medium,Mid-tempo
"Galway Girl",Happy,High,Fast
"I Don't Care"" (with Justin Bieber)",Happy,High,Fast
"The A Team",Sad,Low,Slow
"Happier",Sad,Medium,Slow
"Sing",Happy,High,Fast
"Shape of You",Happy,High,Fast
"Thinking Out Loud",Happy,Medium,Slow
"Castle on the Hill",Happy,High,Fast
"Perfect",Happy,Medium,Slow
"Photograph",Happy,Medium,Mid-tempo
"Galway Girl",Happy,High,Fast
"I Don't Care"" (with Justin Bieber)",Happy,High,Fast
"The A Team",Sad,Low,Slow
"Happier",Sad,Medium,Slow
"Sing",Happy,High,Fast
"Shape of You",Happy,High,Fast
"Thinking Out Loud",Happy,Medium,Slow
"Castle on the Hill",Happy,High,Fast
"Perfect",Happy,Medium,Slow
"Photograph",Happy,Medium,Mid-tempo
"Galway Girl",Happy,High,Fast
"I Don't Care"" (with Justin Bieber)",Happy,High,Fast
"The A Team",Sad,Low,Slow
"Happier",Sad,Medium,Slow
"Sing",Happy,High,Fast
"Shape of You",Happy,High,Fast
"Thinking Out Loud",Happy,Medium,Slow
"Castle on the Hill",Happy,High,Fast
"Perfect",Happy,Medium,Slow
"Photograph",Happy,Medium,Mid-tempo
"Galway Girl",Happy,High,Fast
"I Don't Care"" (with Justin Bieber)",Happy,High,Fast
"The A Team",Sad,Low,Slow
"Happier",Sad,Medium,Slow
"Sing",Happy,High,Fast
"Shape of You",Happy,High,Fast
"Thinking Out Loud",Happy,Medium,Slow
"Castle on the Hill",Happy,High,Fast
"Perfect",Happy,Medium,Slow
"Photograph",Happy,Medium,Mid-tempo
"Galway Girl",Happy,High,Fast
"I Don't Care"" (with Justin Bieber)",Happy,High,Fast
"The A Team",Sad,Low,Slow
"Happier",Sad,Medium,Slow
"Sing",Happy,High,Fast
"Shape of You",Happy,High,Fast
"Thinking Out Loud",Happy,Medium,Slow
"Castle on the Hill",Happy,High,Fast
"Perfect",Happy,Medium,Slow
"Photograph",Happy,Medium,Mid-tempo
"Galway Girl",Happy,High,Fast
"I Don't Care"" (with Justin Bieber)",Happy,High,Fast
"The A Team",Sad,Low,Slow
"Happier",Sad,Medium,Slow
"Sing",Happy,High,Fast
"Shape of You",Happy,High,Fast
"Thinking Out Loud",Happy,Medium,Slow
"Castle on the Hill",Happy,High,Fast
"Perfect",Happy,Medium,Slow
"Photograph",Happy,Medium,Mid-tempo
"Galway Girl",Happy,High,Fast
"I Don't Care"" (with Justin Bieber)",Happy,High,Fast
"The A Team",Sad,Low,Slow
"Happier",Sad,Medium,Slow
"Rockstar",Happy,High,Fast
"Circles",Sad,Medium,Mid-tempo
"Congratulations",Happy,High,Fast
"Sunflower",Happy,High,Fast
"White Iverson",Happy,Medium,Mid-tempo
"Goodbyes",Sad,High,Fast
"Wow.",Happy,High,Fast
"Better Now",Sad,Medium,Mid-tempo
"Go Flex",Sad,High,Slow
"Psycho",Happy,High,Fast
"Rockstar",Happy,High,Fast
"Circles",Sad,Medium,Mid-tempo
"Congratulations",Happy,High,Fast
"Sunflower",Happy,High,Fast
"White Iverson",Happy,Medium,Mid-tempo
"Goodbyes",Sad,High,Fast
"Wow.",Happy,High,Fast
"Better Now",Sad,Medium,Mid-tempo
"Go Flex",Sad,High,Slow
"Psycho",Happy,High,Fast
"Rockstar",Happy,High,Fast
"Circles",Sad,Medium,Mid-tempo
"Congratulations",Happy,High,Fast
"Sunflower",Happy,High,Fast
"White Iverson",Happy,Medium,Mid-tempo
"Goodbyes",Sad,High,Fast
"Wow.",Happy,High,Fast
"Better Now",Sad,Medium,Mid-tempo
"Go Flex",Sad,High,Slow
"Psycho",Happy,High,Fast
"Rockstar",Happy,High,Fast
"Circles",Sad,Medium,Mid-tempo
"Congratulations",Happy,High,Fast
"Sunflower",Happy,High,Fast
"White Iverson",Happy,Medium,Mid-tempo
"Goodbyes",Sad,High,Fast
"Wow.",Happy,High,Fast
"Better Now",Sad,Medium,Mid-tempo
"Go Flex",Sad,High,Slow
"Psycho",Happy,High,Fast
"Rockstar",Happy,High,Fast
"Circles",Sad,Medium,Mid-tempo
"Congratulations",Happy,High,Fast
"Sunflower",Happy,High,Fast
"White Iverson",Happy,Medium,Mid-tempo
"Goodbyes",Sad,High,Fast
"Wow.",Happy,High,Fast
"Better Now",Sad,Medium,Mid-tempo
"Go Flex",Sad,High,Slow
"Psycho",Happy,High,Fast
"Rockstar",Happy,High,Fast
"Circles",Sad,Medium,Mid-tempo
"Congratulations",Happy,High,Fast
"Sunflower",Happy,High,Fast
"White Iverson",Happy,Medium,Mid-tempo
"Goodbyes",Sad,High,Fast
"Wow.",Happy,High,Fast
"Better Now",Sad,Medium,Mid-tempo
"Go Flex",Sad,High,Slow
"Psycho",Happy,High,Fast
"Rockstar",Happy,High,Fast
"Circles",Sad,Medium,Mid-tempo
"Congratulations",Happy,High,Fast
"Sunflower",Happy,High,Fast
"White Iverson",Happy,Medium,Mid-tempo
"Goodbyes",Sad,High,Fast
"Wow.",Happy,High,Fast
"Better Now",Sad,Medium,Mid-tempo
"Go Flex",Sad,High,Slow
"Psycho",Happy,High,Fast
"Rockstar",Happy,High,Fast
"Circles",Sad,Medium,Mid-tempo
"Congratulations",Happy,High,Fast
"Sunflower",Happy,High,Fast
"White Iverson",Happy,Medium,Mid-tempo
"Goodbyes",Sad,High,Fast
"Wow.",Happy,High,Fast
"Better Now",Sad,Medium,Mid-tempo
"Go Flex",Sad,High,Slow
"Psycho",Happy,High,Fast
"Rockstar",Happy,High,Fast
"Circles",Sad,Medium,Mid-tempo
"Congratulations",Happy,High,Fast
"Sunflower",Happy,High,Fast
"White Iverson",Happy,Medium,Mid-tempo
"Goodbyes",Sad,High,Fast
"Wow.",Happy,High,Fast
"Better Now",Sad,Medium,Mid-tempo
"Go Flex",Sad,High,Slow
"Psycho",Happy,High,Fast
"Rockstar",Happy,High,Fast
"Circles",Sad,Medium,Mid-tempo
"Congratulations",Happy,High,Fast
"Sunflower",Happy,High,Fast
"White Iverson",Happy,Medium,Mid-tempo
"EARFQUAKE",Happy,High,Fast
"See You Again",Happy,High,Fast
"Yonkers",Happy,High,Fast
"Who Dat Boy",Happy,High,Fast
"IFHY",Sad,High,Slow
"GONE, GONE / THANK YOU",Sad,Medium,Slow
"NEW MAGIC WAND",Happy,High,Fast
"I THINK",Happy,High,Fast
"Boredom",Sad,Medium,Slow
"911 / Mr. Lonely",Sad,Medium,Slow
"EARFQUAKE",Happy,High,Fast
"See You Again",Happy,High,Fast
"Yonkers",Happy,High,Fast
"Who Dat Boy",Happy,High,Fast
"IFHY",Sad,High,Slow
"GONE, GONE / THANK YOU",Sad,Medium,Slow
"NEW MAGIC WAND",Happy,High,Fast
"I THINK",Happy,High,Fast
"Boredom",Sad,Medium,Slow
"911 / Mr. Lonely",Sad,Medium,Slow
"EARFQUAKE",Happy,High,Fast
"See You Again",Happy,High,Fast
"Yonkers",Happy,High,Fast
"Who Dat Boy",Happy,High,Fast
"IFHY",Sad,High,Slow
"GONE, GONE / THANK YOU",Sad,Medium,Slow
"NEW MAGIC WAND",Happy,High,Fast
"I THINK",Happy,High,Fast
"Boredom",Sad,Medium,Slow
"911 / Mr. Lonely",Sad,Medium,Slow
"EARFQUAKE",Happy,High,Fast
"See You Again",Happy,High,Fast
"Yonkers",Happy,High,Fast
"Who Dat Boy",Happy,High,Fast
"IFHY",Sad,High,Slow
"GONE, GONE / THANK YOU",Sad,Medium,Slow
"NEW MAGIC WAND",Happy,High,Fast
"I THINK",Happy,High,Fast
"Boredom",Sad,Medium,Slow
"911 / Mr. Lonely",Sad,Medium,Slow
"EARFQUAKE",Happy,High,Fast
"See You Again",Happy,High,Fast
"Yonkers",Happy,High,Fast
"Who Dat Boy",Happy,High,Fast
"IFHY",Sad,High,Slow
"GONE, GONE / THANK YOU",Sad,Medium,Slow
"NEW MAGIC WAND",Happy,High,Fast
"I THINK",Happy,High,Fast
"Boredom",Sad,Medium,Slow
"911 / Mr. Lonely",Sad,Medium,Slow
"EARFQUAKE",Happy,High,Fast
"See You Again",Happy,High,Fast
"Yonkers",Happy,High,Fast
"Who Dat Boy",Happy,High,Fast
"IFHY",Sad,High,Slow
"GONE, GONE / THANK YOU",Sad,Medium,Slow
"NEW MAGIC WAND",Happy,High,Fast
"I THINK",Happy,High,Fast
"Boredom",Sad,Medium,Slow
"911 / Mr. Lonely",Sad,Medium,Slow
"EARFQUAKE",Happy,High,Fast
"See You Again",Happy,High,Fast
"Yonkers",Happy,High,Fast
"Who Dat Boy",Happy,High,Fast
"IFHY",Sad,High,Slow
"GONE, GONE / THANK YOU",Sad,Medium,Slow
"NEW MAGIC WAND",Happy,High,Fast
"I THINK",Happy,High,Fast
"Boredom",Sad,Medium,Slow
"911 / Mr. Lonely",Sad,Medium,Slow
"EARFQUAKE",Happy,High,Fast
"See You Again",Happy,High,Fast
"Yonkers",Happy,High,Fast
"Who Dat Boy",Happy,High,Fast
"IFHY",Sad,High,Slow
"GONE, GONE / THANK YOU",Sad,Medium,Slow
"NEW MAGIC WAND",Happy,High,Fast
"I THINK",Happy,High,Fast
"Boredom",Sad,Medium,Slow
"911 / Mr. Lonely",Sad,Medium,Slow
"EARFQUAKE",Happy,High,Fast
"See You Again",Happy,High,Fast
"Yonkers",Happy,High,Fast
"Who Dat Boy",Happy,High,Fast
"IFHY",Sad,High,Slow
"What Makes You Beautiful",Happy,High,Fast
"Story of My Life",Happy,Medium,Mid-tempo
"Drag Me Down",Happy,High,Fast
"Best Song Ever",Happy,High,Fast
"Night Changes",Sad,Medium,Slow
"Steal My Girl",Happy,High,Fast
"Perfect",Happy,Medium,Slow
"Live While We're Young",Happy,High,Fast
"Kiss You",Happy,High,Fast
"Little Things",Happy,Medium,Slow
"One Thing",Happy,High,Fast
"More Than This",Sad,Medium,Slow
"You & I",Happy,Medium,Slow
"Happily",Happy,High,Fast
"Where Do Broken Hearts Go",Sad,High,Fast
"Fireproof",Happy,Medium,Slow
"If I Could Fly",Sad,Medium,Slow
"Through the Dark",Happy,Medium,Mid-tempo
"Little Black Dress",Happy,High,Fast
"They Don't Know About Us",Sad,Medium,Slow
"Diana",Happy,High,Fast
"Fool's Gold",Sad,Medium,Slow
"No Control",Happy,High,Fast
"Spaces",Sad,Medium,Slow
"Strong",Happy,High,Fast
"Stockholm Syndrome",Sad,High,Fast
"Ready to Run",Happy,High,Fast
"Right Now",Sad,Medium,Slow
"Alive",Happy,High,Fast
"Change Your Ticket",Happy,Medium,Mid-tempo
"Can't Help Falling in Love",Happy,Medium,Slow
"Suspicious Minds",Sad,High,Fast
"Jailhouse Rock",Happy,High,Fast
"Love Me Tender",Happy,Medium,Slow
"Heartbreak Hotel",Sad,High,Fast
"Hound Dog",Happy,High,Fast
"Blue Suede Shoes",Happy,High,Fast
"All Shook Up",Happy,High,Fast
"In the Ghetto",Sad,Medium,Slow
"Always on My Mind",Sad,Medium,Slow
"Suspicious Minds",Sad,High,Fast
"Jailhouse Rock",Happy,High,Fast
"Love Me Tender",Happy,Medium,Slow
"Heartbreak Hotel",Sad,High,Fast
"Hound Dog",Happy,High,Fast
"Blue Suede Shoes",Happy,High,Fast
"All Shook Up",Happy,High,Fast
"In the Ghetto",Sad,Medium,Slow
"Always on My Mind",Sad,Medium,Slow
"It's Now or Never",Happy,High,Fast
"Are You Lonesome Tonight?",Sad,Medium,Slow
"Burning Love",Happy,High,Fast
"A Little Less Conversation",Happy,High,Fast
"Blue Christmas",Sad,Medium,Slow
"Return to Sender",Happy,High,Fast
"Love Me",Happy,Medium,Slow
"Viva Las Vegas",Happy,High,Fast
"Crying in the Chapel",Sad,Medium,Slow
"The Wonder of You",Happy,Medium,Slow
"Don't Be Cruel",Happy,High,Fast
"Devil in Disguise",Sad,High,Fast
"You're the Devil in Disguise",Happy,High,Fast
"Teddy Bear",Happy,High,Fast
"A Big Hunk o' Love",Happy,High,Fast
"Stuck on You",Happy,High,Fast
"Good Luck Charm",Happy,High,Fast
"King Creole",Happy,High,Fast
"I Want You, I Need You, I Love You",Happy,Medium,Slow
"Don't",Sad,Medium,Slow
"Too Much",Happy,High,Fast
"She's Not You",Sad,Medium,Slow
"Love Me Tender",Happy,Medium,Slow
"I Can't Stop Loving You",Sad,Medium,Slow
"Blue Moon",Sad,Medium,Slow
"Heartbreak Hotel",Sad,High,Fast
"Blue Hawaii",Happy,Medium,Slow
"That's All Right",Happy,High,Fast
"Wooden Heart",Happy,Medium,Slow
"Suspicion",Sad,High,Fast
"Kiss Me Quick",Happy,High,Fast
"I'm Yours",Happy,Medium,Slow
"A Mess of Blues",Sad,Medium,Slow
"His Latest Flame",Happy,High,Fast
"Guitar Man",Happy,High,Fast
"One Night",Sad,Medium,Slow
"A Fool Such as I",Sad,Medium,Slow
"Sweet Caroline",Happy,High,Fast
"Forever in Blue Jeans",Happy,High,Fast
"Song Sung Blue",Happy,Medium,Mid-tempo
"Cracklin' Rosie",Happy,High,Fast
"Love on the Rocks",Sad,Medium,Slow
"America",Happy,Medium,Mid-tempo
"Hello Again",Happy,Medium,Slow
"I Am...I Said",Sad,Medium,Slow
"Solitary Man",Sad,Medium,Slow
"You Don't Bring Me Flowers",Sad,Medium,Slow
"Cherry, Cherry",Happy,High,Fast
"September Morn",Happy,Medium,Slow
"Play Me",Happy,Medium,Mid-tempo
"Brother Love's Traveling Salvation Show",Happy,High,Fast
"Red Red Wine",Sad,Medium,Slow
"If You Know What I Mean",Sad,Medium,Slow
"Shilo",Sad,Medium,Slow
"Beautiful Noise",Happy,High,Fast
"Girl, You'll Be a Woman Soon",Sad,Medium,Slow
"I'm a Believer"" (originally by The Monkees)",Happy,High,Fast
"Desiree",Sad,Medium,Slow
"Stones",Sad,Medium,Slow
"Thank the Lord for the Night Time",Happy,High,Fast
"I've Been This Way Before",Sad,Medium,Slow
"Longfellow Serenade",Happy,Medium,Slow
"Holly Holy",Happy,Medium,Slow
"Soolaimon",Happy,High,Fast
"Yesterday's Songs",Sad,Medium,Slow
"Walk on Water",Happy,Medium,Slow
"Glory Road",Happy,High,Fast
"He Ain't Heavy, He's My Brother",Sad,Medium,Slow
"Girl You'll Be a Woman Soon",Sad,Medium,Slow
"Sweet Caroline",Happy,High,Fast
"Forever in Blue Jeans",Happy,High,Fast
"Song Sung Blue",Happy,Medium,Mid-tempo
"Cracklin' Rosie",Happy,High,Fast
"Love on the Rocks",Sad,Medium,Slow
"America",Happy,Medium,Mid-tempo
"Hello Again",Happy,Medium,Slow
"I Am...I Said",Sad,Medium,Slow
"Solitary Man",Sad,Medium,Slow
"You Don't Bring Me Flowers",Sad,Medium,Slow
"Cherry, Cherry",Happy,High,Fast
"September Morn",Happy,Medium,Slow
"Play Me",Happy,Medium,Mid-tempo
"Brother Love's Traveling Salvation Show",Happy,High,Fast
"Red Red Wine",Sad,Medium,Slow
"If You Know What I Mean",Sad,Medium,Slow
"Shilo",Sad,Medium,Slow
"Beautiful Noise",Happy,High,Fast
"Girl, You'll Be a Woman Soon",Sad,Medium,Slow
"I'm a Believer"" (originally by The Monkees)",Happy,High,Fast
"Desiree",Sad,Medium,Slow
"Stones",Sad,Medium,Slow
"Thank the Lord for the Night Time",Happy,High,Fast
"I've Been This Way Before",Sad,Medium,Slow
"Longfellow Serenade",Happy,Medium,Slow
"Holly Holy",Happy,Medium,Slow
"Soolaimon",Happy,High,Fast
"Yesterday's Songs",Sad,Medium,Slow
"Walk on Water",Happy,Medium,Slow
"Glory Road",Happy,High,Fast
"He Ain't Heavy, He's My Brother",Sad,Medium,Slow
"Girl You'll Be a Woman Soon",Sad,Medium,Slow
"Sweet Caroline",Happy,High,Fast
"Forever in Blue Jeans",Happy,High,Fast
"Song Sung Blue",Happy,Medium,Mid-tempo
"Cracklin' Rosie",Happy,High,Fast
"Love on the Rocks",Sad,Medium,Slow
"America",Happy,Medium,Mid-tempo
"Hello Again",Happy,Medium,Slow
"I Am...I Said",Sad,Medium,Slow
"Solitary Man",Sad,Medium,Slow
"You Don't Bring Me Flowers",Sad,Medium,Slow
"Cherry, Cherry",Happy,High,Fast
"September Morn",Happy,Medium,Slow
"Play Me",Happy,Medium,Mid-tempo
"Brother Love's Traveling Salvation Show",Happy,High,Fast
"Red Red Wine",Sad,Medium,Slow
"If You Know What I Mean",Sad,Medium,Slow
"Shilo",Sad,Medium,Slow
"Beautiful Noise",Happy,High,Fast
"Girl, You'll Be a Woman Soon",Sad,Medium,Slow
"I'm a Believer"" (originally by The Monkees)",Happy,High,Fast
"Desiree",Sad,Medium,Slow
"Stones",Sad,Medium,Slow
"Thank the Lord for the Night Time",Happy,High,Fast
"I've Been This Way Before",Sad,Medium,Slow
"Longfellow Serenade",Happy,Medium,Slow
"Holly Holy",Happy,Medium,Slow
"Soolaimon",Happy,High,Fast
"Yesterday's Songs",Sad,Medium,Slow
"Walk on Water",Happy,Medium,Slow
"Glory Road",Happy,High,Fast
"He Ain't Heavy, He's My Brother",Sad,Medium,Slow
"Girl You'll Be a Woman Soon",Sad,Medium,Slow
"Rock and Roll All Nite",Happy,High,Fast
"Detroit Rock City",Happy,High,Fast
"I Was Made for Lovin' You",Happy,High,Fast
"Love Gun",Happy,High,Fast
"Beth",Sad,Low,Slow
"Shout It Out Loud",Happy,High,Fast
"Strutter",Happy,High,Fast
"God Gave Rock 'n' Roll to You II",Happy,High,Fast
"Deuce",Happy,High,Fast
"Heaven's on Fire",Happy,High,Fast
"Black Diamond",Happy,High,Fast
"Lick It Up",Happy,High,Fast
"Calling Dr. Love",Happy,High,Fast
"Cold Gin",Happy,High,Fast
"Crazy Crazy Nights",Happy,High,Fast
"Christine Sixteen",Happy,High,Fast
"I Love It Loud",Happy,High,Fast
"Forever",Happy,Medium,Slow
"Tears Are Falling",Sad,Medium,Slow
"Rock Bottom",Happy,High,Fast
"Hard Luck Woman",Sad,Medium,Slow
"Tomorrow and Tonight",Happy,High,Fast
"War Machine",Happy,High,Fast
"Firehouse",Happy,High,Fast
"100,000 Years",Happy,High,Fast
"Unholy",Sad,High,Fast
"Got to Choose",Happy,High,Fast
"King of the Night Time World",Happy,High,Fast
"Love 'Em and Leave 'Em",Happy,High,Fast
"Rocket Ride",Happy,High,Fast
"Do You Love Me?",Happy,High,Fast
"Flaming Youth",Happy,High,Fast
"Sure Know Something",Happy,Medium,Slow
"Parasite",Happy,High,Fast
"Shandi",Sad,Medium,Slow
"All Hell's Breakin' Loose",Happy,High,Fast
"Take Me",Happy,High,Fast
"Hide Your Heart",Sad,Medium,Slow
"Ladies Room",Happy,High,Fast
"Room Service",Happy,High,Fast
"Let's Put the X in Sex",Happy,High,Fast
"I Stole Your Love",Happy,High,Fast
"Flaming Youth",Happy,High,Fast
"Two Timer",Happy,High,Fast
"Rock and Roll All Nite",Happy,High,Fast
"Detroit Rock City",Happy,High,Fast
"I Was Made for Lovin' You",Happy,High,Fast
"Love Gun",Happy,High,Fast
"Beth",Sad,Low,Slow
"Shout It Out Loud",Happy,High,Fast
"Strutter",Happy,High,Fast
"God Gave Rock 'n' Roll to You II",Happy,High,Fast
"Deuce",Happy,High,Fast
"Heaven's on Fire",Happy,High,Fast
"Black Diamond",Happy,High,Fast
"Lick It Up",Happy,High,Fast
"Calling Dr. Love",Happy,High,Fast
"Cold Gin",Happy,High,Fast
"Crazy Crazy Nights",Happy,High,Fast
"Christine Sixteen",Happy,High,Fast
"I Love It Loud",Happy,High,Fast
"Forever",Happy,Medium,Slow
"Tears Are Falling",Sad,Medium,Slow
"Rock Bottom",Happy,High,Fast
"Hard Luck Woman",Sad,Medium,Slow
"Tomorrow and Tonight",Happy,High,Fast
"War Machine",Happy,High,Fast
"Firehouse",Happy,High,Fast
"100,000 Years",Happy,High,Fast
"Unholy",Sad,High,Fast
"Got to Choose",Happy,High,Fast
"King of the Night Time World",Happy,High,Fast
"Love 'Em and Leave 'Em",Happy,High,Fast
"Rocket Ride",Happy,High,Fast
"Do You Love Me?",Happy,High,Fast
"Flaming Youth",Happy,High,Fast
"Sure Know Something",Happy,Medium,Slow
"Parasite",Happy,High,Fast
"Shandi",Sad,Medium,Slow
"All Hell's Breakin' Loose",Happy,High,Fast
"Take Me",Happy,High,Fast
"Hide Your Heart",Sad,Medium,Slow
"Ladies Room",Happy,High,Fast
"Room Service",Happy,High,Fast
"Let's Put the X in Sex",Happy,High,Fast
"I Stole Your Love",Happy,High,Fast
"Flaming Youth",Happy,High,Fast
"Two Timer",Happy,High,Fast
"Like a Prayer",Happy,High,Fast
"Vogue",Happy,High,Fast
"Material Girl",Happy,High,Fast
"Like a Virgin",Happy,High,Fast
"Hung Up",Happy,High,Fast
"Express Yourself",Happy,High,Fast
"La Isla Bonita",Happy,Medium,Mid-tempo
"Into the Groove",Happy,High,Fast
"Holiday",Happy,High,Fast
"Ray of Light",Happy,High,Fast
"Frozen",Sad,Medium,Slow
"Papa Don't Preach",Happy,High,Fast
"4 Minutes"" (feat. Justin Timberlake & Timbaland)",Happy,High,Fast
"Borderline",Happy,High,Fast
"Crazy for You",Happy,Medium,Slow
"Music",Happy,High,Fast
"Live to Tell",Sad,Medium,Slow
"Don't Tell Me",Happy,Medium,Slow
"Erotica",Sad,Medium,Slow
"Who's That Girl",Happy,High,Fast
"Take a Bow",Sad,Medium,Slow
"Lucky Star",Happy,High,Fast
"Give It 2 Me",Happy,High,Fast
"Secret",Happy,Medium,Slow
"Sorry",Sad,High,Fast
"Deeper and Deeper",Happy,High,Fast
"Bedtime Story",Sad,Medium,Slow
"Girl Gone Wild",Happy,High,Fast
"Hollywood",Happy,High,Fast
"American Life",Sad,Medium,Slow
"Justify My Love",Sad,Medium,Slow
"Open Your Heart",Happy,High,Fast
"Jump",Happy,High,Fast
"Beautiful Stranger",Happy,Medium,Mid-tempo
"Get Together",Happy,High,Fast
"Sorry",Sad,High,Fast
"Don't Cry for Me Argentina",Sad,Medium,Slow
"Die Another Day",Sad,High,Fast
"Give It 2 Me",Happy,High,Fast
"Miles Away",Sad,Medium,Slow
"Cherish",Happy,Medium,Slow
"Dress You Up",Happy,High,Fast
"Nothing Really Matters",Sad,Medium,Slow
"Hanky Panky",Happy,High,Fast
"La Isla Bonita",Happy,Medium,Mid-tempo
"Get Together",Happy,High,Fast
"Music",Happy,High,Fast
"Give It 2 Me",Happy,High,Fast
"4 Minutes"" (feat. Justin Timberlake & Timbaland)",Happy,High,Fast
"Sorry",Sad,High,Fast
"Jump",Happy,High,Fast
"Vogue",Happy,High,Fast
"Erotica",Sad,Medium,Slow
"Holiday",Happy,High,Fast
"Frozen",Sad,Medium,Slow
"Into the Groove",Happy,High,Fast
"Borderline",Happy,High,Fast
"Living for Love",Happy,High,Fast
"La Isla Bonita",Happy,Medium,Mid-tempo
